displacement,horsepower,weight,cylinders,modelYear,drivetrain,transmission,mpg
1.9,158,3055,4,2011,2,1,43.5
2.6,199,2441,6,1971,3,0,33.7
1.6,139,2154,4,2019,3,1,52.1
1,80,2710,3,1992,1,0,50
1.4,135,2135,3,1998,1,0,49
3.6,324,2765,8,2016,3,0,30.7
1.2,76,2425,3,1997,1,2,50.5
2.7,195,2508,6,2009,3,2,43
1.3,150,2001,4,1971,1,1,43.4
1.4,170,2112,4,1971,3,2,40.7
3.3,269,3311,8,1980,3,1,26.9
1.6,168,2871,4,2004,2,2,44.4
1.5,164,2105,4,1979,3,0,43.8
1.4,159,2941,4,1976,0,2,40
4.3,329,3536,10,1972,2,1,15.8
3.5,303,3149,8,2014,2,0,30.6
1.7,197,2644,4,2007,2,0,43.5
3.5,306,3053,8,2000,1,1,28.4
2.2,229,2465,6,2017,1,0,42.8
2,133,2436,4,2020,1,1,49.9
2.6,269,2980,6,2004,2,1,36.9
1.5,198,2067,4,2022,2,0,49.3
2.8,215,2651,6,1983,0,1,35.9
2.8,257,2448,6,2008,1,1,38.2
2.9,293,2860,8,1978,2,2,26.8
4.2,374,3642,10,1989,3,2,16.5
1.6,134,2345,4,1989,2,0,43.5
4.7,404,3597,12,1970,3,0,9
4.5,390,3943,10,1981,0,1,14.8
2.5,267,2640,6,2016,2,2,40.1
2.1,122,3169,4,1972,1,2,36.6
1,106,2840,3,1975,3,0,42.2
1,91,2167,3,2021,2,0,55.1
1.4,114,2090,4,2018,3,2,52
3.1,311,3489,8,1986,1,1,23.9
3.9,377,2825,10,2007,1,2,27.6
3,314,3229,8,2016,3,2,32.1
1.7,199,2435,4,2001,3,2,44.9
2.8,242,3044,6,2003,1,2,38
3.6,291,2996,8,1975,1,1,25.2
3.4,308,2829,8,1970,0,2,26.5
1.5,126,2927,4,2006,2,1,45.1
1.7,144,2830,4,1985,2,0,41.4
5.1,434,3344,12,1979,1,2,12.6
1.8,178,2192,4,1995,3,1,45.8
1.8,114,2222,4,1993,0,0,46
1.7,193,2398,4,1993,0,1,43.9
3.5,257,3641,8,2005,1,1,30
1.7,164,3076,4,2000,2,1,42.6
2.4,216,2807,6,2020,2,2,41.8
3.5,306,2994,8,1986,2,0,25.6
1.5,139,2601,4,2007,1,2,49.1
2.3,205,2351,6,1980,0,0,37.4
3.8,389,2775,10,1999,0,2,26.5
5.2,437,3933,12,1996,3,2,11.4
1.9,149,2334,4,1982,3,0,42
4.9,414,3342,12,1987,1,2,15.7
3.3,285,3140,8,1993,2,1,29.4
2,177,2281,4,2010,2,1,46.5
2.6,193,3118,6,1993,1,1,36
4.1,390,3487,10,1991,3,2,18.2
1.1,144,2435,3,2004,1,0,48.4
1.4,132,2720,4,2008,3,1,46.5
1.9,114,2597,4,1973,3,0,39.4
4.8,442,3956,12,1993,0,2,11
2,153,2264,4,1979,3,1,41.9
3.1,281,3510,8,1970,2,1,22.8
2.8,265,3039,6,2001,0,0,33.1
4.5,390,2959,10,1974,3,1,18.4
1.5,179,2280,4,1995,3,1,46.5
1.2,101,2111,3,2010,1,1,53.7
1.4,130,2837,4,1978,0,1,41.1
2.8,207,2776,6,1985,0,0,36.4
3,315,2816,8,1978,3,1,26.9
1.6,142,2789,3,2002,2,0,45.3
1.6,169,2560,4,1983,1,1,43.8
3.1,259,2754,8,2011,3,2,37.1
3.5,262,3391,8,2003,3,2,30.9
1.1,99,2477,3,1972,0,1,46.3
4.3,387,3399,10,1996,1,0,21.6
1.7,191,3001,4,2014,3,0,42
1.2,85,2463,3,2008,3,0,51.6
2.5,199,2468,6,2014,0,2,44.3
1.5,197,2136,4,1980,2,1,41.1
3.4,283,2718,8,1990,0,0,31.5
1.3,161,2305,4,2012,1,1,51.3
1.9,152,2895,4,1989,3,0,40.7
4.6,439,3333,12,1996,0,1,17.8
1.9,115,2908,4,1971,0,1,40.9
2,174,2623,4,2010,3,1,44.5
2.1,258,2936,6,1981,3,2,32
2.2,193,2373,6,2004,0,0,42.1
1,117,2667,3,1989,2,1,48.2
1.1,120,2418,3,2003,3,2,50.3
2.1,120,2882,4,1981,0,1,41.8
1.6,163,2118,4,1998,3,0,46.7
3.5,255,3160,8,1980,0,2,29.1
4.8,466,4000,12,1977,2,1,9
2.4,218,3058,6,1970,0,1,32.2
2.5,225,2373,6,1990,0,1,39.5
1.5,137,3028,4,2007,1,1,46.6
5.1,433,4117,12,2002,1,1,11
3.2,260,3454,8,1975,1,0,25.2
2.5,215,2679,6,1989,0,0,38.5
3.5,318,2809,8,2012,3,2,33.4
2.7,231,2752,6,1989,1,2,36
3.5,262,3578,8,2016,0,0,32.5
2.8,266,3342,6,2016,3,2,34.3
1.5,120,2934,4,2014,1,1,49.3
3.2,259,2856,8,2003,0,2,32.9
3.8,372,2787,10,1974,3,0,20.4
1.7,112,2876,4,2008,2,2,45.5
1.2,86,2536,3,2007,2,2,52.8
1.3,137,2722,4,2013,2,1,48.8
3.1,293,3266,8,2007,2,2,30.8
1.4,122,2256,4,1991,0,2,49.6
4.2,356,3749,10,1976,0,0,17.5
3,261,3344,8,1999,1,2,31.5
3.6,272,2824,8,2012,3,0,32.8
3.3,268,3161,8,1982,3,2,28
1,101,2800,3,1986,3,2,46.2
2.9,237,2503,6,2000,2,2,38.2
1.4,192,2418,4,1996,1,2,44.4
2,115,2861,4,1999,0,1,46.3
1.9,178,2969,4,1975,0,2,36.6
1.7,136,2276,4,1980,3,2,42.4
1.4,182,2233,4,2021,1,1,49.9
2.6,202,2826,6,2004,3,2,37.5
4.5,385,3324,10,2015,3,0,23.8
2.1,230,3102,6,2017,1,0,39.5
3.6,271,3584,8,2020,2,0,32.2
2.2,251,2895,6,1989,2,2,34.6
4,398,3346,10,1981,3,0,18.4
2.5,258,2988,6,2024,0,0,41.8
4.5,340,3030,10,2018,1,1,27.9
1.6,154,2816,4,1974,3,0,37.6
3,334,2721,8,1988,2,0,29
4.9,423,3812,12,1972,1,1,10.5
4.7,421,3620,12,1982,2,0,12.8
3,262,2608,8,2009,2,1,34.7
2,189,2815,4,1979,1,1,38.9
4.5,353,3816,10,2010,2,0,20
4,363,3255,10,1990,0,1,21.9
3.6,336,3230,8,2001,1,0,26.9
2.5,251,2510,6,1970,1,1,31.7
5.1,433,3895,12,2022,0,2,17.4
1.9,145,2934,4,2010,2,1,46.7
2.9,309,3156,8,1971,2,0,24.3
4.4,395,3016,10,1997,1,2,24.1
1.7,155,2394,4,1983,2,1,41.7
3.7,290,2727,8,2004,3,1,32.4
2.8,247,2791,6,1981,1,2,34.9
3.7,392,3122,10,1990,1,2,20.8
3.8,402,3154,10,2000,1,0,21.4
3,258,3183,8,1989,1,2,31.2
4.4,404,3615,10,1996,0,2,19
3.7,272,3125,8,1971,2,0,22.6
3.3,332,3423,8,1986,1,1,23.3
1.7,150,2853,4,2002,2,1,45.6
1.5,157,2102,4,1980,0,0,45
3.4,269,3409,8,2004,3,2,29.8
2.5,240,3185,6,2023,1,2,39.7
2.6,202,2705,6,2019,1,0,43.9
2.7,234,3186,6,2005,2,0,37.2
2.7,244,3398,6,2022,3,2,36.5
4.6,421,3689,12,2000,3,1,15.3
4.5,406,3021,10,1983,1,0,17.2
1.8,128,2472,4,1999,0,0,46.6
3.3,340,3156,8,1999,3,1,26.6
1.5,165,2691,4,2020,2,0,47.1
2.7,251,3207,6,1981,2,1,32.1
3.2,308,2748,8,2022,0,0,34.7
1.9,182,2500,4,1972,0,0,39.1
1.9,161,2303,4,1987,3,1,42.4
1.6,178,2464,4,1979,0,0,40
4.4,360,3140,10,1970,2,2,18
2,172,3166,4,1974,2,1,36.7
3.9,403,3121,10,2019,2,1,27.3
1.7,172,3092,4,1995,1,0,41.3
1.5,150,2196,4,1996,3,2,48.1
2.2,233,2749,6,2012,3,1,40.5
3.1,301,3423,8,2000,3,1,29.5
3.3,300,3259,8,2019,3,0,32.8
1.4,179,2435,4,1979,2,2,42.8
3.8,383,3699,10,1978,0,1,16.7
1.7,136,3037,4,1976,3,1,38
4.1,371,3438,10,1987,3,2,17.6
1.3,190,2346,4,1988,3,1,43.5
3.3,280,3366,8,2002,3,2,27.7
1.5,149,2877,4,2022,0,1,48.5
2.3,222,2628,6,1989,1,2,38.6
3.1,292,2765,8,2006,1,0,33.5
1.6,146,2970,4,2015,0,1,46.8
1.8,198,2865,4,2002,3,2,41.5
4.3,399,3189,10,1980,1,0,16.6
1.9,117,2918,4,2002,3,1,43.5
1.9,136,2278,4,1975,1,0,41.8
1.7,109,2980,3,1997,0,2,47.5
1.5,156,2800,4,1979,0,2,42.5
2.1,146,3128,4,2000,0,2,41.3
2,188,3110,4,2007,0,0,41.1
4.5,459,3922,12,1976,1,0,9
4.2,336,2902,10,1986,0,1,23.3
1.7,121,2423,4,1987,2,0,46.3
1.7,169,2903,4,2019,1,0,46.3
5.1,468,3668,12,1970,2,1,9
1.8,187,2766,4,1996,1,0,40.6
1.4,198,2239,4,1987,2,1,43.7
2.4,268,3192,6,2002,2,1,34.7
4.5,466,3938,12,1986,1,1,9.8
2.8,205,2828,6,1987,0,0,37.1
3.6,301,3020,8,2015,0,1,34.6
4.8,452,3599,12,1975,2,1,9.2
3.3,329,3047,8,2007,1,0,30.7
2.5,193,3336,6,2004,1,1,37.3
2.5,197,2745,6,2016,1,0,41.6
1.9,198,2447,4,2002,3,2,43.1
2.8,267,3208,6,1975,2,2,28.9
2.2,269,2622,6,2003,1,2,37.5
2,162,2256,4,1990,3,2,45.2
2.9,299,3351,8,1996,1,2,27.7
1.6,179,2973,4,1976,2,0,37.7
4.2,339,3624,10,1986,2,0,19
3.4,308,2975,8,1999,0,0,29.4
1.9,115,3160,4,2008,3,1,44.8
1.5,138,3026,4,1982,2,2,40.5
1.9,176,2184,4,2007,0,1,49.2
1.9,137,2789,4,1981,1,0,39.1
1.9,138,2744,4,1980,3,0,39.6
4.3,381,3886,10,1975,0,2,16.5
1.4,158,2960,4,1980,3,1,38.4
3,279,2994,8,2002,3,2,32.7
4.1,379,2964,10,1971,3,2,17.5
1.5,156,3040,3,1991,2,0,40.7
1.8,177,2771,4,1998,0,1,42.7
1.3,152,2564,3,1993,1,2,45.3
1.7,129,2457,3,1986,0,2,47.4
3,311,3474,8,2018,3,2,31.2
3.3,259,2977,8,1984,0,1,29
3.2,266,3033,8,2015,3,2,32.9
1.7,159,2316,4,1998,3,2,45.6
1.7,170,2995,4,2007,0,2,43.3
3.9,332,3116,10,1999,0,2,25.1
3.5,289,2930,8,1998,0,0,30.1
4.9,463,3266,12,1978,3,0,9.6
1.7,198,2761,4,1996,2,2,40.5
2.7,262,3290,6,1981,0,1,29
4.6,416,3823,12,2024,1,1,20.4
3.9,355,3418,10,1990,3,0,19.2
2.9,244,3171,6,1985,1,1,31.5
1.5,184,2403,4,2019,2,0,49
1.1,134,2354,3,2023,0,2,55.3
3.2,300,3064,8,2019,2,1,33.4
2.7,206,2988,6,2002,3,1,37
3,337,2616,8,1979,2,2,28.7
2.5,222,2976,6,2022,1,1,40.2
3.7,329,3530,10,1999,2,0,23.5
2.3,209,2418,6,1971,3,1,36.1
2.8,216,3386,6,2020,0,2,37.3
3.5,254,3392,8,1997,2,0,30
1,160,2506,3,1972,3,2,42.3
1.7,146,3073,4,1976,2,1,39.7
1.4,118,2615,4,2010,3,2,49
2,114,2442,4,2020,0,2,51
2.1,133,2417,4,2023,1,1,52.3
1.9,165,2892,4,1990,1,2,43.2
2.1,201,2890,6,1981,2,2,35.8
2.6,206,3005,6,2004,2,2,37.9
4.9,431,3697,12,1983,0,0,11.4
4.2,375,3697,10,2014,1,1,22.2
1.5,119,2285,4,2002,0,1,50.3
3.9,389,3664,10,1991,0,2,20.3
4.7,407,3984,12,1992,0,0,14.6
1.9,177,2798,4,1974,1,1,39.8
1.5,181,2219,4,2002,1,2,48.3
4.9,424,3274,12,2014,0,2,20.1
1.5,160,2534,3,2011,2,2,48.5
1.6,89,2761,3,2015,3,2,51.5
1.8,151,2934,4,1994,1,1,42.6
4.2,331,3564,10,1986,2,1,21.1
4.3,339,3117,10,1980,1,0,21.3
1.4,132,2692,4,2011,3,2,47.2
3.6,284,3135,8,1989,3,0,25.1
4.5,392,3366,10,1970,3,2,14
1.7,142,2246,4,2010,1,1,49.6
3.5,274,3150,8,2011,0,2,32.8
1.4,138,2087,4,1970,2,2,42.9
2.4,260,3078,6,2001,2,1,36.3
1.4,136,2340,3,1984,2,2,44.9
1.6,194,2893,4,1972,2,2,37.5
2,175,2361,4,1972,1,2,38.8
3.6,270,3670,8,1982,2,2,25.2
1.7,126,2905,4,2011,0,0,46.2
2.2,198,2433,6,2022,2,0,46.2
1.9,165,2480,4,1975,0,1,41.9
2.4,217,3293,6,1976,0,2,30.8
2,126,2612,4,1998,3,2,46.7
2.1,140,3202,4,2005,2,1,42.9
3.7,370,3560,10,2006,1,1,22.4
1.4,164,2090,4,2002,1,0,47.2
3.1,335,3471,8,1996,0,2,28.2
2,116,2337,4,1981,0,0,43.2
1.5,181,2743,4,1981,2,2,41.2
4.6,427,3795,12,1992,1,0,12.8
2,119,2782,4,1998,2,0,43.6
3,297,2971,8,2010,3,2,33.9
3.2,305,3334,8,2015,2,1,31.9
1.9,195,2316,4,2017,2,0,48.8
3.7,265,3617,8,2021,2,1,30
3.7,273,3453,8,1990,1,1,27.1
3.4,336,3402,8,2012,2,1,28.3
4.2,388,3204,10,1986,1,0,18.6
5.1,399,3628,12,1987,2,1,13.7
2.3,239,2746,6,1992,3,1,34.7
1.6,140,2336,4,1995,0,2,48.6
4,403,3518,10,1990,2,0,17.8
1.5,110,2816,4,1986,3,2,44.9
2.5,221,3106,6,2015,2,2,38
1.3,195,2255,4,2021,1,1,51.6
4,389,3023,10,1992,3,0,20
2.1,121,2913,4,1972,0,0,37.6
3.4,326,2898,8,1970,0,2,24.5
3.4,260,3609,8,1983,1,2,25.6
2.1,236,3193,6,2003,1,1,35.7
2.6,237,2824,6,2019,1,1,41.4
1.8,118,2949,4,2005,3,0,44.1
2.1,113,2763,4,2019,2,2,50.1
1.8,174,3113,4,2015,1,1,44.6
1.7,115,2368,4,2010,3,2,49.8
2,132,3002,4,1988,3,2,40.4
3,316,3087,8,2007,1,0,31.3
2,170,2567,4,1979,2,1,40.3
1.6,197,2608,4,1992,0,1,41.6
2.9,249,3100,6,2022,3,2,38.7
2.5,195,2881,6,1980,1,1,35.4
1.6,126,2900,4,1970,0,2,40.2
1,138,2544,3,2014,0,1,50.1
2.9,270,3354,8,2008,1,2,32.3
2.4,248,3096,6,1981,0,2,34.5
1.6,115,2897,4,2004,2,2,45.6
1.7,145,2796,4,1981,0,1,43.2
1.9,112,2630,4,1983,0,0,44.6
3.2,311,2856,8,1972,0,2,26.6
1.5,126,2706,4,1983,0,1,42.1
4.7,394,3784,12,2014,2,1,19
1.6,128,2584,4,2014,0,2,50.9
3.4,299,3182,8,1984,0,1,25.8
2.3,227,3216,6,1979,3,1,31.8
2.8,205,2958,6,2018,3,2,39.8
4.5,438,3252,12,2021,3,1,19.5
2,119,2802,4,1987,1,2,44.1
4.2,395,3322,10,1978,1,1,18.3
1.5,105,2874,3,1972,2,0,40.3
1.5,99,2230,3,1979,3,2,45.3
3.6,317,3011,8,1986,0,0,24.9
1.5,193,2110,4,2016,1,2,50.6
2.8,183,3312,6,2008,0,1,36.9
5.1,471,4030,12,1988,0,1,9
1.8,190,2550,4,1989,1,2,41.9
1.2,125,2762,3,1981,0,2,43
3.8,347,3379,10,2013,3,2,27.3
1.8,154,2732,4,2004,2,0,45.4
3.4,329,2750,8,1973,2,1,25.5
2.4,200,3189,6,2021,1,2,42.9
4.6,465,3741,12,1974,0,0,9.4
2.2,227,2526,6,1984,0,2,37.8
2.3,248,3104,6,2018,1,2,39.6
3.3,318,3076,8,1987,2,0,26.1
1.2,150,2328,3,2008,2,2,51.4
3.1,292,3120,8,2010,2,0,33.3
4.9,430,3335,12,2020,2,0,20.9
2.3,250,3232,6,1971,2,2,30.5
5,426,3207,12,1995,1,2,18.1
3,254,3237,8,1973,1,2,26.8
1.7,145,2382,4,1982,1,0,41.6
1,128,2863,3,2017,1,2,51.6
2,185,2656,4,1974,0,2,38.1
2.1,176,2546,4,2005,0,0,46.1
3.4,338,2932,8,1970,3,0,21.6
2.2,264,2973,6,2016,0,1,39.6
3.1,319,3007,8,1978,2,0,27.1
3,330,3234,8,1983,0,0,25
2.8,209,3425,6,2024,0,2,38.5
2.3,250,2338,6,2003,3,0,39.3
3.1,254,3293,8,2006,3,2,32.8
2.2,210,3099,6,1999,2,0,36.7
2.5,201,3014,6,2016,2,0,38.4
1.8,198,3081,4,1976,2,1,34.8
2.4,228,2617,6,1981,2,0,34.3
1.3,86,2944,3,1982,3,0,45.1
2.1,256,2664,6,1979,0,0,34.2
1.3,144,2445,4,2000,2,1,45.8
1.4,179,2543,4,2015,2,1,48.7
2.1,229,2774,6,2011,3,2,41.5
3.5,272,3084,8,2018,0,1,33.1
3.7,321,2915,8,2009,0,0,32.6
1.9,197,2692,4,2018,0,0,45.7
1.6,111,2796,4,1996,3,2,45.3
1.9,111,2176,4,2006,0,1,51.9
1.6,147,2781,4,1979,2,0,41
5,470,4033,12,1990,3,0,9
1.5,151,2456,3,2024,0,1,53.3
1.4,151,2625,3,2024,3,1,51.1
3.5,260,3076,8,2018,1,0,32.8
2.1,132,2861,4,2008,1,1,45.9
1.4,115,3020,3,1991,3,0,44.7
1.9,137,2942,4,1970,2,0,36.2
1.3,116,2444,4,2002,3,0,47.9
4.3,364,3796,10,1997,3,2,19.9
1.4,199,2627,4,1984,3,0,41.2
1.4,147,2532,4,1978,0,1,43.8
1.9,114,2696,4,1991,3,1,45.2
2.1,165,3036,4,1992,1,2,39.2
1.3,82,2949,3,2020,3,1,50.4
4.3,337,3692,10,2017,1,0,25.8
1.8,178,2847,4,1992,2,2,42.9
1.8,176,2343,4,1980,1,0,40.9
1.6,122,2272,4,2000,2,0,49.8
2,170,2992,4,1994,3,0,38.8
4.6,405,3342,12,2021,3,2,21.4
1.1,142,2769,3,2004,3,2,46.8
2.6,189,2899,6,1973,0,0,33.2
2.6,245,2755,6,2019,3,0,40
3,321,2764,8,1982,2,1,29
1.5,149,2894,4,1975,1,1,41.4
1.3,129,2498,3,1989,3,1,46
1.9,198,2280,4,1977,2,0,40.8
4.9,435,3758,12,1978,2,1,11.6
3,289,3346,8,1986,3,2,26.9
4.1,401,3709,10,1995,1,1,19.6
1.2,160,2921,3,1986,3,1,42.5
1.5,185,2990,4,2017,0,2,47.1
3.4,252,2849,8,1991,1,0,32.7
3.6,325,2812,8,1976,1,0,27
3.3,327,3054,8,1986,0,2,27.7
1.4,117,2172,4,2024,1,0,53.7
4.5,322,3697,10,2017,2,2,24.9
4.6,430,3551,12,1973,1,0,9.7
3.2,282,2651,8,1997,3,0,32.5
1.4,145,2134,4,1972,0,1,42.7
5,423,3553,12,1974,1,2,11.5
5.1,431,3819,12,1972,2,0,9
1.6,152,2355,4,1994,2,1,45.6
3.3,315,3187,8,2023,1,0,32.2
1.4,190,2164,4,1992,3,0,42.7
3.4,313,3599,8,1982,3,1,22
1.7,132,2192,4,2016,2,2,51.8
1.8,124,3101,4,1983,3,0,40.2
1.4,145,2854,4,1991,2,2,44.3
2.2,182,2657,6,1984,1,0,39.6
3.6,316,3458,8,1992,3,1,23.1
3.2,282,2573,8,1994,2,2,33
1.4,86,2893,3,1978,2,2,45.1
1.7,112,2631,3,2014,1,2,49.2
3.3,331,2683,8,2022,1,1,34.3
1.8,115,2149,4,2001,0,2,48.8
4.7,404,3257,12,1977,2,2,15
2.6,229,2931,6,1983,3,2,35.1
1.4,167,2185,4,1970,3,2,41.3
1.7,157,2298,4,2005,0,2,47.7
1.6,118,2554,4,2010,2,1,48.9
1.5,142,3031,4,1976,1,0,37.6
1.6,167,2860,4,1983,0,1,40.4
1.9,170,2472,4,1973,2,1,38.5
1.8,155,2174,4,1983,1,1,44.9
2.7,220,2855,6,2002,1,0,37.8
3.7,308,3507,8,1975,2,0,22.4
1.6,178,2341,4,1985,1,0,43.2
3.7,334,2868,10,2013,3,1,30.1
2.2,205,2302,6,2007,2,1,44.6
2.7,182,3386,6,2023,2,2,42.1
1,119,2202,3,1980,0,2,49.6
1.8,167,3096,4,1972,2,0,35.1
2.1,158,2960,4,2003,0,2,42.9
4.5,368,3825,10,2010,3,2,20.4
3.7,339,2861,8,1989,0,2,26.5
4.9,460,3223,12,1986,0,1,12.9
4.1,321,3036,10,1983,1,2,22.9
1.4,119,2632,4,1994,1,2,47.5
2.6,188,3036,6,2013,1,2,42
1.9,152,2197,4,2011,1,0,49.8
2.3,256,2800,6,2004,1,2,39.2
2.2,232,3029,6,2016,3,0,38.9
1.5,137,2786,4,1989,0,2,43.8
2.4,236,3275,6,1975,2,1,31.5
1.7,122,2902,4,1981,1,0,40
2.5,222,2469,6,1986,1,2,37.5
2.2,212,2923,6,1986,2,2,34.7
1.3,110,2695,3,1977,1,0,45.4
2.8,224,3383,6,2010,3,0,36.5
1.3,127,2314,4,1999,1,1,50
2.6,181,2481,6,2023,3,0,45.7
2,187,2868,4,1994,0,2,42.4
4.2,326,3162,10,1998,2,1,24
3.6,327,3203,8,1977,3,2,24.7
3.4,286,3096,8,1985,2,1,28.9
2.8,229,2651,6,1990,0,1,36.7
1.8,173,2954,4,1980,3,2,37.5
1.8,156,2505,4,1988,3,2,42.3
1.4,175,2041,4,1998,3,1,47
2.8,220,3080,6,2012,3,1,38.6
1.7,134,2906,4,1973,0,1,40.5
2.6,224,2444,6,2019,0,0,42.9
2.5,197,2614,6,1998,0,2,41.9
4.7,451,3863,12,1999,0,0,14.9
2.8,254,2696,6,2021,3,0,38.8
1.5,77,2110,3,1981,0,2,50.9
3.7,304,3689,8,1991,0,2,24.6
5,449,3806,12,1997,3,1,12.4
1.6,115,2857,3,2016,1,2,51.2
3.4,264,3143,8,1974,2,1,26.1
4.4,389,3592,10,1980,2,2,17.6
5.2,392,3493,12,1986,0,0,14.6
2.3,217,3148,6,1979,1,0,32.2
2.1,176,2769,4,1997,1,0,42.9
3.6,312,2746,8,1986,0,2,29.8
1.5,198,2959,4,1990,3,2,41.3
1.9,197,2512,4,2012,3,2,44.4
5.2,391,3994,12,2024,1,1,18.5
5,394,3814,12,1983,3,1,12.5
3.6,306,3013,8,1982,2,0,27.3
5.2,419,3925,12,1988,2,2,10.8
1.8,141,2428,4,2002,3,2,47.8
4.2,400,3841,10,2024,1,2,21.8
1.8,182,2267,4,2020,1,0,49.1
3,326,3393,8,2018,3,2,31.3
1.4,155,2523,4,1994,3,1,43.4
1.5,152,2761,4,1984,3,1,41
1.4,151,2040,4,2009,0,0,49.5
1.6,138,3012,4,2012,2,2,45
1.1,77,2581,3,2017,0,0,52.4
2,185,2834,4,1977,2,2,39
1.4,195,2732,4,2000,3,1,44.1
1.4,163,2360,4,1970,0,1,41.9
1.3,152,2608,4,2017,3,0,46.9
1.4,155,2131,4,1988,0,1,47.7
5.2,454,3463,12,2006,0,1,16.7
1.2,126,2132,3,2022,1,0,56.2
3.2,290,2885,8,1994,1,0,30.8
1.4,144,2537,4,1993,3,2,43.9
3.6,331,3597,8,2018,2,1,28.7
1.9,132,3043,4,2012,3,1,44.1
2.8,245,3292,6,2008,3,2,35.2
3,255,3444,8,1979,0,2,26.4
3.5,312,2743,8,1999,2,1,29.9
3.5,305,2904,8,2013,1,2,34.8
2,178,2230,4,1989,2,0,44.5
1.5,132,2578,3,1985,1,0,44.3
4.5,449,3603,12,1976,2,0,9.6
4.1,344,3076,10,1992,3,2,22.4
1.6,172,2097,4,1980,0,1,42.9
3.2,312,3092,8,2003,1,1,30.2
3.5,319,3112,8,2004,3,1,30.3
4.8,460,3255,12,2017,2,2,20.2
1.7,147,2628,4,1981,2,1,42
3.6,287,3048,8,2019,2,0,33.4
1.5,157,2059,4,1991,3,0,44.6
3.1,261,2586,8,2009,3,0,35.2
3.7,356,2986,10,1975,3,1,22.1
2.6,268,2708,6,2002,3,0,36.3
2,157,2877,4,1980,2,1,39.5
4.7,427,3072,12,2002,1,0,17.8
2.4,194,3268,6,2019,0,0,42
1.3,124,2895,3,2006,3,0,46.2
1.2,122,2758,3,1984,1,1,45.6
2.8,204,2957,6,1972,1,1,32.1
1.6,160,2414,4,2016,2,1,48.4
1.2,158,2329,3,2011,3,2,49.6
1.8,193,2621,4,2006,1,2,43.9
1.6,171,2157,4,2021,0,0,50.9
5,401,3316,12,1981,3,1,15
2.6,258,2965,6,1995,2,1,33.8
2,161,2424,4,1990,2,1,44.7
1.6,163,2512,4,2001,1,2,47.8
3.2,317,3063,8,1983,2,0,25.3
1.9,170,2573,4,2008,1,1,47
2,161,2296,4,2018,3,2,50.8
1.9,135,2469,4,2009,3,0,48.4
3.7,349,3377,10,1974,1,0,19.9
1.7,118,2984,4,1989,2,0,41.2
2,114,2514,4,1985,1,0,43.8
1,155,2365,3,1985,1,2,44.8
3.6,317,3024,8,2004,0,1,28.9
1.9,136,3127,4,1977,0,0,39.2
2.4,221,3298,6,2007,3,2,36.1
1.3,199,2020,4,1975,0,1,42.3
1.4,145,2320,3,1996,2,0,46.2
5.1,453,3727,12,2009,3,0,13.3
3.9,357,3621,10,2003,1,1,22.6
3.2,321,2845,8,2023,2,1,35.3
1.6,107,2613,3,1979,2,2,44.8
3.7,331,3666,10,2005,0,1,23.9
4.7,424,3294,12,1993,0,2,17.9
1.3,133,2013,4,2020,1,1,55.7
3.6,262,3135,8,2000,3,2,31.2
4.3,371,3441,10,2020,1,1,26.7
1.8,196,2474,4,1984,0,1,41.2
2,163,2986,4,1996,1,2,42.2
5.1,443,3952,12,2002,3,0,12.1
1,78,2444,3,2003,0,2,53.8
3.7,321,3582,8,1980,1,0,21.6
3,280,3328,8,2012,1,1,31.2
1.9,180,2534,4,1984,3,2,40
1.3,165,2658,4,1972,0,1,40.1
4.8,441,3642,12,1992,3,1,14.3
2,169,3158,4,1983,2,0,35.8
2.9,339,3046,8,2001,2,0,28.1
2.3,253,2682,6,1987,3,0,36.2
5,393,3874,12,2015,0,0,16.6
2.5,260,3042,6,2023,0,0,38.1
3.1,310,2886,8,1990,0,0,29.9
1.4,139,2584,4,1987,3,2,45.5
3.1,294,2980,8,2001,3,1,31.8
3.2,283,2906,8,1987,1,1,29.9
3.9,356,3276,10,1970,0,0,18.5
2.6,241,2654,6,2005,3,1,38.8
3.3,272,3268,8,2001,3,2,30.4
2.6,269,2980,6,2023,1,1,38.1
2,125,2992,4,2014,3,1,44.5
2.4,212,2757,6,2010,2,2,42.2
1.7,172,2385,4,1990,2,2,42.9
2.2,221,2856,6,1995,3,1,38.6
1,122,1901,3,2001,1,0,53
2.1,242,2383,6,1988,0,0,39.5
5.1,450,3136,12,1974,1,2,11.7
1.7,183,2455,4,1989,2,2,41.6
1,165,2689,3,2010,0,1,49.7
1.4,193,2478,4,2008,3,2,45.7
1.6,121,2837,3,1998,1,0,45.1
3.6,330,3180,8,2000,1,1,27
1.6,134,2282,4,1999,0,0,47.7
3,302,3442,8,2003,2,2,30.5
2.5,187,2838,6,1977,1,1,35.9
3,297,2983,8,1972,2,2,26.9
1.3,92,2374,3,1992,1,0,47.4
1.5,194,2467,4,1998,1,2,45.2
3.2,299,3503,8,2021,0,0,33.4
4.7,472,3114,12,2012,0,1,18.8
2.3,269,2312,6,2021,3,2,42.2
1.8,182,3042,4,1996,3,1,41.1
3.4,318,3133,8,2022,3,0,31.8
1.8,126,2431,4,1992,3,1,45.5
2.3,206,2545,6,2008,1,2,43
1.6,142,2410,4,1971,0,1,41.2
4.1,334,2951,10,2016,3,2,28.6
3.2,312,3399,8,1992,2,1,27.5
2.4,212,3014,6,2022,2,2,42.1
